,Experiment_ID,Algorithm,N,R,range_flag,type,seed,kproj,w,M,probes,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,1,hypercube,1,2000.0,false,protein,1,4,3.0,10,2,2.39984,0.0,188976.0,5.29167,0.00479829
1,2,hypercube,1,2000.0,false,protein,1,4,3.0,10,4,2.39984,0.0,148148.0,6.75,0.00558592
2,3,hypercube,1,2000.0,false,protein,1,4,3.0,10,6,2.39984,0.0,230769.0,4.33333,0.00499447
3,4,hypercube,1,2000.0,false,protein,1,4,3.0,10,8,2.39984,0.0,214286.0,4.66667,0.00497887
4,5,hypercube,1,2000.0,false,protein,1,4,3.0,10,10,2.39984,0.0,189573.0,5.275,0.00530728
5,6,hypercube,1,2000.0,false,protein,1,4,3.0,10,12,2.39984,0.0,141343.0,7.075,0.00585096
6,7,hypercube,1,2000.0,false,protein,1,4,3.0,10,14,2.39984,0.0,163043.0,6.13333,0.00568751
7,8,hypercube,1,2000.0,false,protein,1,4,3.0,10,16,2.39984,0.0,191388.0,5.225,0.00511683
8,9,hypercube,1,2000.0,false,protein,1,4,3.0,10,18,2.39984,0.0,186335.0,5.36667,0.00497067
9,10,hypercube,1,2000.0,false,protein,1,4,3.0,100,2,1.91494,0.0,41465.1,2.41167,0.00505572
10,11,hypercube,1,2000.0,false,protein,1,4,3.0,100,4,1.91494,0.0,33342.6,2.99917,0.00616245
11,12,hypercube,1,2000.0,false,protein,1,4,3.0,100,6,1.91494,0.0,33416.9,2.9925,0.00585293
12,13,hypercube,1,2000.0,false,protein,1,4,3.0,100,8,1.91494,0.0,38535.6,2.595,0.0053
13,14,hypercube,1,2000.0,false,protein,1,4,3.0,100,10,1.91494,0.0,36900.4,2.71,0.00524526
14,15,hypercube,1,2000.0,false,protein,1,4,3.0,100,12,1.91494,0.0,33491.5,2.98583,0.00514163
15,16,hypercube,1,2000.0,false,protein,1,4,3.0,100,14,1.91494,0.0,38071.1,2.62667,0.00525574
16,17,hypercube,1,2000.0,false,protein,1,4,3.0,100,16,1.91494,0.0,38999.0,2.56417,0.00493224
17,18,hypercube,1,2000.0,false,protein,1,4,3.0,100,18,1.91494,0.0,35346.1,2.82917,0.00513033
18,19,hypercube,1,2000.0,false,protein,1,4,3.0,1000,2,1.37745,0.0833333,4193.17,0.000238483,0.00507932
19,20,hypercube,1,2000.0,false,protein,1,4,3.0,1000,4,1.37745,0.0833333,4286.33,0.0002333,0.00498344
20,21,hypercube,1,2000.0,false,protein,1,4,3.0,1000,6,1.37745,0.0833333,4522.33,0.000221125,0.00490737
21,22,hypercube,1,2000.0,false,protein,1,4,3.0,1000,8,1.37745,0.0833333,4043.26,0.000247325,0.00505454
22,23,hypercube,1,2000.0,false,protein,1,4,3.0,1000,10,1.37745,0.0833333,4296.46,0.00023275,0.00501142
23,24,hypercube,1,2000.0,false,protein,1,4,3.0,1000,12,1.37745,0.0833333,4358.88,0.000229417,0.00497134
24,25,hypercube,1,2000.0,false,protein,1,4,3.0,1000,14,1.37745,0.0833333,4372.7,0.000228692,0.00500257
25,26,hypercube,1,2000.0,false,protein,1,4,3.0,1000,16,1.37745,0.0833333,4182.93,0.000239067,0.00509632
26,27,hypercube,1,2000.0,false,protein,1,4,3.0,1000,18,1.37745,0.0833333,4222.53,0.000236825,0.00491372
27,28,hypercube,1,2000.0,false,protein,1,4,3.0,10000,2,1.06374,0.166667,407.74,0.00245254,0.00491199
28,29,hypercube,1,2000.0,false,protein,1,4,3.0,10000,4,1.06374,0.166667,402.477,0.00248462,0.00489147
29,30,hypercube,1,2000.0,false,protein,1,4,3.0,10000,6,1.06374,0.166667,406.594,0.00245946,0.00509483
30,31,hypercube,1,2000.0,false,protein,1,4,3.0,10000,8,1.06374,0.166667,413.052,0.002421,0.00493577
31,32,hypercube,1,2000.0,false,protein,1,4,3.0,10000,10,1.06374,0.166667,406.704,0.00245879,0.00493971
32,33,hypercube,1,2000.0,false,protein,1,4,3.0,10000,12,1.06374,0.166667,405.681,0.00246499,0.0049064
33,34,hypercube,1,2000.0,false,protein,1,4,3.0,10000,14,1.06374,0.166667,398.245,0.00251102,0.00500743
34,35,hypercube,1,2000.0,false,protein,1,4,3.0,10000,16,1.06374,0.166667,406.782,0.00245832,0.00489778
35,36,hypercube,1,2000.0,false,protein,1,4,3.0,10000,18,1.06374,0.166667,398.715,0.00250806,0.00490332
36,37,hypercube,1,2000.0,false,protein,1,4,4.0,10,2,2.2518,0.0,260870.0,3.83333,0.00490958
37,38,hypercube,1,2000.0,false,protein,1,4,4.0,10,4,2.2518,0.0,246914.0,4.05,0.00502893
38,39,hypercube,1,2000.0,false,protein,1,4,4.0,10,6,2.2518,0.0,233010.0,4.29167,0.00497153
39,40,hypercube,1,2000.0,false,protein,1,4,4.0,10,8,2.2518,0.0,225564.0,4.43333,0.00490243
40,41,hypercube,1,2000.0,false,protein,1,4,4.0,10,10,2.2518,0.0,199336.0,5.01667,0.00513926
41,42,hypercube,1,2000.0,false,protein,1,4,4.0,10,12,2.2518,0.0,237154.0,4.21667,0.00486065
42,43,hypercube,1,2000.0,false,protein,1,4,4.0,10,14,2.2518,0.0,200669.0,4.98333,0.00492207
43,44,hypercube,1,2000.0,false,protein,1,4,4.0,10,16,2.2518,0.0,213904.0,4.675,0.00490259
44,45,hypercube,1,2000.0,false,protein,1,4,4.0,10,18,2.2518,0.0,202020.0,4.95,0.00488568
45,46,hypercube,1,2000.0,false,protein,1,4,4.0,100,2,2.01837,0.0,44676.1,2.23833,0.00489898
46,47,hypercube,1,2000.0,false,protein,1,4,4.0,100,4,2.01837,0.0,40969.6,2.44083,0.00504229
47,48,hypercube,1,2000.0,false,protein,1,4,4.0,100,6,2.01837,0.0,43684.0,2.28917,0.00487583
48,49,hypercube,1,2000.0,false,protein,1,4,4.0,100,8,2.01837,0.0,41899.4,2.38667,0.00492469
49,50,hypercube,1,2000.0,false,protein,1,4,4.0,100,10,2.01837,0.0,38400.0,2.60417,0.00489677
50,51,hypercube,1,2000.0,false,protein,1,4,4.0,100,12,2.01837,0.0,41987.4,2.38167,0.00501182
51,52,hypercube,1,2000.0,false,protein,1,4,4.0,100,14,2.01837,0.0,44020.5,2.27167,0.00477882
52,53,hypercube,1,2000.0,false,protein,1,4,4.0,100,16,2.01837,0.0,41293.9,2.42167,0.00488299
53,54,hypercube,1,2000.0,false,protein,1,4,4.0,100,18,2.01837,0.0,43494.0,2.29917,0.00491395
54,55,hypercube,1,2000.0,false,protein,1,4,4.0,1000,2,1.40647,0.0,3777.03,0.000264758,0.00509387
55,56,hypercube,1,2000.0,false,protein,1,4,4.0,1000,4,1.40647,0.0,4221.49,0.000236883,0.00501687
56,57,hypercube,1,2000.0,false,protein,1,4,4.0,1000,6,1.40647,0.0,4110.01,0.000243308,0.00501715
57,58,hypercube,1,2000.0,false,protein,1,4,4.0,1000,8,1.40647,0.0,4278.53,0.000233725,0.00511592
58,59,hypercube,1,2000.0,false,protein,1,4,4.0,1000,10,1.40647,0.0,4274.11,0.000233967,0.00493637
59,60,hypercube,1,2000.0,false,protein,1,4,4.0,1000,12,1.40647,0.0,4313.91,0.000231808,0.00496283
60,61,hypercube,1,2000.0,false,protein,1,4,4.0,1000,14,1.40647,0.0,4272.74,0.000234042,0.00503992
61,62,hypercube,1,2000.0,false,protein,1,4,4.0,1000,16,1.40647,0.0,4304.32,0.000232325,0.00500244
62,63,hypercube,1,2000.0,false,protein,1,4,4.0,1000,18,1.40647,0.0,4182.93,0.000239067,0.00495992
63,64,hypercube,1,2000.0,false,protein,1,4,4.0,10000,2,1.05217,0.333333,413.75,0.00241692,0.00512802
64,65,hypercube,1,2000.0,false,protein,1,4,4.0,10000,4,1.05217,0.333333,406.736,0.0024586,0.00504085
65,66,hypercube,1,2000.0,false,protein,1,4,4.0,10000,6,1.05217,0.333333,432.101,0.00231428,0.00487773
66,67,hypercube,1,2000.0,false,protein,1,4,4.0,10000,8,1.05217,0.333333,425.718,0.00234897,0.00498616
