Experiment_ID,Algorithm,type,kclusters,nprobe,N,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,ivfflat,protein,200,20,1,1,0.166667,316.621,0.00315835,0.00672047
1,ivfflat,protein,100,20,1,1,0.166667,141.176,0.00708337,0.00727999
2,ivfflat,protein,50,10,1,1.00259,0,172.348,0.00580221,0.00676974
3,ivfflat,protein,200,50,1,1,0.166667,132.824,0.00752874,0.00670429
4,ivfflat,protein,25,5,1,1.00212,0.0833333,137.36,0.00728013,0.00775339
5,ivfflat,protein,200,10,1,1,0.166667,467.679,0.00213822,0.00817165
6,ivfflat,protein,200,10,5,1,0.172222,623.076,0.00160494,0.00674501
7,ivfflat,protein,200,20,5,1,0.2,338.896,0.00295076,0.00657263
8,ivfflat,protein,200,50,5,1,0.2,122.409,0.00816931,0.00719226
9,ivfflat,protein,200,20,20,1,0.323295,296.223,0.00337584,0.0075542
10,ivfflat,protein,220,25,20,1,0.323295,259.297,0.00385658,0.00867159
11,ivfflat,protein,220,10,20,1.0021,0.285795,609.02,0.00164198,0.00890575
12,ivfflat,protein,200,20,50,1,0.298096,240.849,0.00415198,0.00777834
13,ivfflat,protein,200,10,50,1,0.272352,322.397,0.00310177,0.010007
14,ivfflat,protein,200,20,200,1,0.421937,179.98,0.00555617,0.0102733
15,ivfflat,protein,200,10,200,1,0.406107,295.545,0.00338357,0.0104317
