Experiment_ID,Algorithm,type,kclusters,nprobe,M,nbits,N,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,ivfpq,protein,200,50,80,8,1,9.27436,0.333333,36.2411,0.027593,0.0106609
1,ivfpq,protein,100,10,80,8,1,5.71379,0.0833333,141.947,0.00704488,0.0101214
2,ivfpq,protein,100,10,16,8,1,3.11483,0.166667,217.118,0.00460578,0.0108154
3,ivfpq,protein,100,10,20,8,1,3.38713,0.166667,257.371,0.00388544,0.00913199
4,ivfpq,protein,100,10,8,8,1,2.32417,0.0833333,323.677,0.0030895,0.0094919
5,ivfpq,protein,200,20,16,8,1,3.10593,0.0833333,255.944,0.0039071,0.00949693
6,ivfpq,protein,200,20,16,6,1,3.13377,0,151.78,0.00658847,0.00949654
7,ivfpq,protein,100,20,16,8,1,3.10471,0.166667,140.336,0.00712577,0.00864835
8,ivfpq,protein,100,20,16,9,1,3.09563,0.166667,116.954,0.00855041,0.0101086
9,ivfpq,protein,200,10,80,8,1,5.69438,0.166667,161.433,0.0061945,0.0141585
10,ivfpq,protein,200,10,80,8,20,5.69438,0.183333,219.204,0.00456196,0.0138581
11,ivfpq,protein,200,10,80,8,50,5.69438,0.285336,233.03,0.00429129,0.0116293
12,ivfpq,protein,200,20,80,8,50,5.69438,0.303669,122.138,0.00818745,0.0115021
13,ivfpq,protein,200,30,80,8,50,5.69438,0.307003,80.6217,0.0124036,0.012799
14,ivfpq,protein,200,20,80,8,200,5.69438,0.53731,126.225,0.00792233,0.012045
15,ivfpq,protein,200,20,80,9,50,5.67592,0.293987,83.7674,0.0119378,0.0140608
