,Experiment_ID,Algorithm,N,R,range_flag,type,seed,k,L,w,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,1,lsh,1,2000.0,false,protein,1,2,8,5.0,1.0,0.25,86.4114,0.0115725,0.00495339
1,2,lsh,1,2000.0,false,protein,1,2,8,7.0,1.0,0.25,73.9139,0.0135293,0.00525553
2,3,lsh,1,2000.0,false,protein,1,2,8,9.0,1.0,0.25,75.2275,0.013293,0.00486757
3,4,lsh,1,2000.0,false,protein,1,2,8,10.0,1.0,0.25,72.4587,0.013801,0.00499738
4,5,lsh,1,2000.0,false,protein,1,2,10,5.0,1.0,0.25,79.642,0.0125562,0.00512635
5,6,lsh,1,2000.0,false,protein,1,2,10,7.0,1.0,0.25,65.9121,0.0151717,0.0049046
6,7,lsh,1,2000.0,false,protein,1,2,10,9.0,1.0,0.25,67.976,0.0147111,0.00487242
7,8,lsh,1,2000.0,false,protein,1,2,10,10.0,1.0,0.25,64.8327,0.0154243,0.00484976
8,9,lsh,1,2000.0,false,protein,1,2,12,5.0,1.0,0.25,73.5749,0.0135916,0.00483905
9,10,lsh,1,2000.0,false,protein,1,2,12,7.0,1.0,0.25,60.8888,0.0164234,0.00505291
10,11,lsh,1,2000.0,false,protein,1,2,12,9.0,1.0,0.25,60.7561,0.0164593,0.00491962
11,12,lsh,1,2000.0,false,protein,1,2,12,10.0,1.0,0.25,57.0493,0.0175287,0.00489482
12,13,lsh,1,2000.0,false,protein,1,2,14,5.0,1.0,0.25,68.0108,0.0147036,0.00483675
13,14,lsh,1,2000.0,false,protein,1,2,14,7.0,1.0,0.25,57.0841,0.017518,0.00485083
14,15,lsh,1,2000.0,false,protein,1,2,14,9.0,1.0,0.25,55.3212,0.0180763,0.00488459
15,16,lsh,1,2000.0,false,protein,1,2,14,10.0,1.0,0.25,52.5639,0.0190244,0.00485907
16,17,lsh,1,2000.0,false,protein,1,4,8,5.0,1.0,0.25,96.7257,0.0103385,0.0048888
17,18,lsh,1,2000.0,false,protein,1,4,8,7.0,1.0,0.25,83.4683,0.0119806,0.00501835
18,19,lsh,1,2000.0,false,protein,1,4,8,9.0,1.0,0.25,85.1867,0.0117389,0.00482263
19,20,lsh,1,2000.0,false,protein,1,4,8,10.0,1.0,0.25,82.2361,0.0121601,0.00490708
20,21,lsh,1,2000.0,false,protein,1,4,10,5.0,1.0,0.25,84.1625,0.0118818,0.0048829
21,22,lsh,1,2000.0,false,protein,1,4,10,7.0,1.0,0.25,71.4933,0.0139873,0.00496862
22,23,lsh,1,2000.0,false,protein,1,4,10,9.0,1.0,0.25,72.7595,0.0137439,0.00486507
23,24,lsh,1,2000.0,false,protein,1,4,10,10.0,1.0,0.25,71.9972,0.0138894,0.00485603
24,25,lsh,1,2000.0,false,protein,1,4,12,5.0,1.0,0.25,78.7963,0.0126909,0.00502799
25,26,lsh,1,2000.0,false,protein,1,4,12,7.0,1.0,0.25,66.5488,0.0150266,0.00488418
26,27,lsh,1,2000.0,false,protein,1,4,12,9.0,1.0,0.25,65.9501,0.015163,0.00485769
27,28,lsh,1,2000.0,false,protein,1,4,12,10.0,1.0,0.25,66.516,0.015034,0.00488117
28,29,lsh,1,2000.0,false,protein,1,4,14,5.0,1.0,0.25,74.156,0.0134851,0.0048404
29,30,lsh,1,2000.0,false,protein,1,4,14,7.0,1.0,0.25,61.8403,0.0161707,0.00500678
30,31,lsh,1,2000.0,false,protein,1,4,14,9.0,1.0,0.25,61.0826,0.0163713,0.00491915
31,32,lsh,1,2000.0,false,protein,1,4,14,10.0,1.0,0.25,54.0585,0.0184985,0.00571635
32,33,lsh,1,2000.0,false,protein,1,6,8,5.0,1.0,0.25,118.536,0.00843625,0.00494872
33,34,lsh,1,2000.0,false,protein,1,6,8,7.0,1.0,0.25,95.612,0.0104589,0.00525933
34,35,lsh,1,2000.0,false,protein,1,6,8,9.0,1.0,0.25,83.4607,0.0119817,0.00703698
35,36,lsh,1,2000.0,false,protein,1,6,8,10.0,1.0,0.25,77.45,0.0129116,0.00614386
36,37,lsh,1,2000.0,false,protein,1,6,10,5.0,1.0,0.25,88.0486,0.0113574,0.00685794
37,38,lsh,1,2000.0,false,protein,1,6,10,7.0,1.0,0.25,73.9878,0.0135158,0.00539693
38,39,lsh,1,2000.0,false,protein,1,6,10,9.0,1.0,0.25,88.3222,0.0113222,0.00490262
39,40,lsh,1,2000.0,false,protein,1,6,10,10.0,1.0,0.25,84.242,0.0118706,0.00488306
40,41,lsh,1,2000.0,false,protein,1,6,12,5.0,1.0,0.25,92.0868,0.0108593,0.00525045
41,42,lsh,1,2000.0,false,protein,1,6,12,7.0,1.0,0.25,84.2328,0.0118719,0.00495268
42,43,lsh,1,2000.0,false,protein,1,6,12,9.0,1.0,0.25,64.6213,0.0154748,0.00633117
43,44,lsh,1,2000.0,false,protein,1,6,12,10.0,1.0,0.25,69.5255,0.0143832,0.0059821
44,45,lsh,1,2000.0,false,protein,1,6,14,5.0,1.0,0.25,79.1389,0.012636,0.00586213
45,46,lsh,1,2000.0,false,protein,1,6,14,7.0,1.0,0.25,74.3057,0.0134579,0.00543005
46,47,lsh,1,2000.0,false,protein,1,6,14,9.0,1.0,0.25,75.692,0.0132114,0.00490111
47,48,lsh,1,2000.0,false,protein,1,6,14,10.0,1.0,0.25,64.3332,0.0155441,0.006043
48,49,lsh,1,2000.0,false,protein,1,8,8,5.0,1.0,0.25,123.458,0.0080999,0.0051997
49,50,lsh,1,2000.0,false,protein,1,8,8,7.0,1.0,0.25,84.3232,0.0118591,0.0079483
50,51,lsh,1,2000.0,false,protein,1,8,8,9.0,1.00536,0.25,92.4977,0.0108111,0.00564549
51,52,lsh,1,2000.0,false,protein,1,8,8,10.0,1.00536,0.25,104.114,0.00960486,0.00501612
52,53,lsh,1,2000.0,false,protein,1,8,10,5.0,1.0,0.25,117.106,0.00853926,0.00506155
53,54,lsh,1,2000.0,false,protein,1,8,10,7.0,1.0,0.25,100.482,0.00995202,0.00532016
54,55,lsh,1,2000.0,false,protein,1,8,10,9.0,1.00536,0.25,96.1828,0.0103969,0.00493987
55,56,lsh,1,2000.0,false,protein,1,8,10,10.0,1.00536,0.25,86.8558,0.0115133,0.0056884
56,57,lsh,1,2000.0,false,protein,1,8,12,5.0,1.0,0.25,104.635,0.00955702,0.00503002
57,58,lsh,1,2000.0,false,protein,1,8,12,7.0,1.0,0.25,81.051,0.0123379,0.00647087
58,59,lsh,1,2000.0,false,protein,1,8,12,9.0,1.00232,0.25,77.4767,0.0129071,0.00705963
59,60,lsh,1,2000.0,false,protein,1,8,12,10.0,1.00232,0.25,81.0066,0.0123447,0.00554334
60,61,lsh,1,2000.0,false,protein,1,8,14,5.0,1.0,0.25,95.0809,0.0105174,0.00525809
61,62,lsh,1,2000.0,false,protein,1,8,14,7.0,1.0,0.25,91.7093,0.010904,0.00493131
62,63,lsh,1,2000.0,false,protein,1,8,14,9.0,1.0,0.25,83.6393,0.0119561,0.00491192
63,64,lsh,1,2000.0,false,protein,1,8,14,10.0,1.0,0.25,81.5905,0.0122563,0.00498708
