Experiment_ID,Algorithm,type,nGraph,layers,nodes,lr,epochs,batch,M,T,N,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
0,neural,protein,20,3,256,0.001,30,128,100,10,1,1.0013703107833862,0.16666666666666666,72.57952121868462,0.013777991135915121,0.07303098837534587
1,neural,protein,20,4,256,0.001,30,128,100,10,1,1.0012891292572021,0.25,100.58745306039246,0.009941597779591879,0.06299575169881184
2,neural,protein,20,5,256,0.001,30,128,100,10,1,1.0013749599456787,0.25,99.19031975168744,0.010081628958384195,0.062417308489481606
3,neural,protein,20,3,512,0.001,30,128,100,10,1,1.0013703107833862,0.16666666666666666,94.4572647888434,0.010586798191070557,0.06311472256978352
4,neural,protein,20,4,512,0.001,30,128,100,10,1,1.0012891292572021,0.25,98.1152431357642,0.01019209623336792,0.06343603134155273
5,neural,protein,20,6,512,0.001,30,128,100,10,1,1.0025863647460938,0.25,101.13437994176876,0.009887834390004476,0.0603331724802653
6,neural,protein,20,7,512,0.001,30,128,100,10,1,1.000390648841858,0.25,100.90850366390329,0.00990996758143107,0.061643520991007485
7,neural,protein,20,5,512,0.001,35,128,100,10,1,1.0013703107833862,0.16666666666666666,99.15944387420383,0.010084768136342367,0.06085650126139323
8,neural,protein,20,8,256,0.001,30,128,100,10,1,1.0213366746902466,0.0,91.98505771494155,0.010871330897013346,0.06137176354726156
9,neural,protein,20,7,512,0.001,30,128,200,20,1,1.020092487335205,0.0,61.17430398732069,0.01634673277537028,0.09246502319971721
10,neural,protein,25,5,256,0.001,30,128,100,10,1,1.0303168296813965,0.25,58.603537288234264,0.01706381638844808,0.08234033981959026
11,neural,protein,20,4,256,0.001,30,128,100,20,1,1.0,0.25,45.26508209592142,0.02209208408991496,0.06770569086074829
12,neural,protein,20,4,256,0.001,30,128,100,10,20,1,0.3433712121212121,91.59718938868657,0.010917365550994873,0.06811290979385376
13,neural,protein,20,4,256,0.001,30,128,100,10,50,1,0.31266061233452536,83.73619221593349,0.011942267417907715,0.07335199912389119
14,neural,protein,20,7,512,0.001,30,128,100,10,50,1,0.3376606123345253,85.31264969057591,0.011721591154734293,0.07399853070576985
15,neural,protein,20,7,512,0.001,30,128,100,10,200,1,0.4429221398325463,83.22155587632753,0.012016117572784424,0.07344003518422444
